Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
20 εξυπνες ιστοριες,Ο'' Χενρυ,3.95,6.58,https://www.protoporia.gr/o-xenry-20-e3ypnes-istories-metaxeirismeno-2220008488640.html
20 Ιουλιου 2019,"Κλαρκ, Αρθουρ",3.75,22.43,https://www.protoporia.gr/klark-ar8oyr-20-ioylioy-2019-metaxeirismeno-2229607136174.html
20 μεγαλοι σοφοι και οι διδασκαλιες τους,Συλλογικο,11.90,15.90,https://www.protoporia.gr/syllogiko-20-megaloi-sofoi-kai-oi-didaskalies-toys-metaxeirismeno-2229604211935.html
20 πεζα ποιηματα,"Μπωντλερ, Σαρλ",5.60,14.13,https://www.protoporia.gr/mpwntler-sarl-20-peza-poihmata-metaxeirismeno-2229608399103.html
20 χρονια χρειαστηκαν,"Μπαλαφας, Γιαννης",7.50,15.00,https://www.protoporia.gr/mpalafas-giannhs-20-xronia-xreiasthkan-metaxeirismeno-2229609535494.html
20.000 $ για ενα φονο,"Higgins-Clark, Mary",7.00,,https://www.protoporia.gr/higgins-clark-mary-20-000-gia-ena-fono-metaxeirismeno-2220001142853.html
20.000 λευγες κατω απο τη θαλασσα,"Βερν, Ιουλιος",8.95,17.90,https://www.protoporia.gr/bern-ioylios-20-000-leyges-katw-apo-th-8alassa-metaxeirismeno-2229601660033.html
200 ΕΡΩΤΗΣΕΙΣ and ΑΠΑΝΤΗΣΕΙΣ,,0.50,,https://www.protoporia.gr/-200-erwthseis-and-apanthseis-metaxeirismeno-2220001146356.html
20000 ΛΕΥΓΕΣ ΚΑΤΩ ΑΠΟ ΤΗ ΘΑΛΑΣΣΑ -,"Βερν, Ιουλιος",4.00,,https://www.protoporia.gr/bern-ioylios-20000-leyges-katw-apo-th-8alassa-metaxeirismeno-2220001102901.html
2001 Οδυσσεια του διαστηματος -,"Κλαρκ, Αρθουρ",4.00,,https://www.protoporia.gr/klark-ar8oyr-2001-odysseia-toy-diasthmatos-metaxeirismeno-2220001149128.html
2010 Οδυσσεια δυο,"Κλαρκ, Αρθουρ",4.00,16.50,https://www.protoporia.gr/klark-ar8oyr-2010-odysseia-dyo-metaxeirismeno-2229604971044.html
2011 ο θριαμβος των Ε,"Κεραμυδας, Ανεστης",7.90,12.78,https://www.protoporia.gr/keramydas-anesths-2011-o-8riambos-twn-e-metaxeirismeno-2224607985043.html
2011-2014 Η Αποκαλυψη των Ε,"Κεραμυδας, Ανεστης",7.31,13.29,https://www.protoporia.gr/keramydas-anesths-2011-2014-h-apokalypsh-twn-e-metaxeirismeno-2229608764826.html
2012 αρχη και οχι τελος,"Καλογερακης, Γερασιμος",10.65,21.30,https://www.protoporia.gr/kalogerakhs-gerasimos-2012-arxh-kai-oxi-telos-metaxeirismeno-2229608100853.html
2013,"Μπαλαματσης, Σπυρος",2.30,10.00,https://www.protoporia.gr/mpalamatshs-spyros-2013-metaxeirismeno-2226185140005.html
2015-,,3.00,,https://www.protoporia.gr/-2015-metaxeirismeno-2229605850911.html
21 ιστοριες και Το κορακι,"Ποε, Εντγκαρ Αλαν",3.96,9.90,https://www.protoporia.gr/poe-entgkar-alan-21-istories-kai-to-koraki-metaxeirismeno-2229605663283.html
21 μαθηματα για τον 21ο αιωνα,"Harari, Yuval Noah",14.63,24.38,https://www.protoporia.gr/harari-yuval-noah-21-ma8hmata-gia-ton-21o-aiwna-metaxeirismeno-2229602217991.html
