Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
Σαν νερό για ζεστή σοκολάτα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Εσκιβέλ, Λάουρα",10.00,12.17,https://www.protoporia.gr/eskivel-laoura-san-nero-gia-zesti-sokolata-metaxeirismeno-354410.html
Σασμός ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Πετρουλάκης, Σπύρος",9.40,18.80,https://www.protoporia.gr/petroulakis-spuros-sasmos-metaxeirismeno-499143.html
Σάγκι Μπέιν ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Στιούαρτ, Ντάγκλας",9.95,19.90,https://www.protoporia.gr/stiouart-ntagklas-sagki-mpein-metaxeirismeno-553388.html
Ξένο χώμα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Cummins, Jeanine",11.00,22.00,https://www.protoporia.gr/cummins-jeanine-kseno-xoma-metaxeirismeno-580951.html
Το βιβλίο που θα ήθελες να είχαν διαβάσει οι γονείς σου ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Perry, Philippa",8.85,17.70,https://www.protoporia.gr/perry-philippa-to-vivlio-pou-tha-itheles-na-eixan-diavasei-oi-goneis-sou-metaxeirismeno-521148.html
Η σφραγίδα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μαντά, Λένα",9.90,19.90,https://www.protoporia.gr/manta-lena-i-sfragida-metaxeirismeno-577085.html
Ελένη ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Γκατζογιάννης, Νίκος",18.00,20.00,https://www.protoporia.gr/gkatzogiannis-nikos-eleni-metaxeirismeno-449668.html
Φεμινισμός ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Κάμερον, Ντέμπορα",6.50,13.00,https://www.protoporia.gr/kameron-ntempora-feminismos-metaxeirismeno-527037.html
Στόμα Γεμάτο Χώμα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Στσεπάνοβιτς, Μπράνιμιρ",7.70,11.00,https://www.protoporia.gr/stsepanovits-mpranimir-stoma-gemato-xoma-metaxeirismeno-2226188663051.html
Μετά τη Βαβέλ ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Steiner, George",25.00,,https://www.protoporia.gr/steiner-george-meta-ti-vavel-metaxeirismeno-461232.html
